4, 6.22222, 7, 6, 10, 1, 2, 5, 7, 14, 16, 20, 21, 22, 23, 10, 0, 3, 4, 5, 6, 8, 9, 10, 11, 12, 10, 3, 6, 8, 10, 15, 16, 19, 20, 21, 23, 10, 0, 2, 3, 8, 11, 12, 18, 19, 21, 23, 10, 0, 1, 5, 7, 9, 12, 15, 16, 17, 19, 10, 0, 7, 10, 11, 12, 14, 17, 21, 22, 24, 
4, 6.76471, 8.08696, 6, 10, 6, 7, 8, 9, 11, 15, 16, 17, 20, 23, 10, 1, 4, 6, 7, 8, 12, 17, 18, 19, 22, 10, 0, 1, 4, 6, 7, 9, 15, 16, 20, 21, 10, 0, 3, 5, 11, 15, 18, 21, 22, 23, 24, 10, 0, 1, 5, 6, 7, 9, 11, 14, 16, 24, 10, 5, 6, 7, 11, 13, 14, 15, 17, 18, 24, 
4, 7, 8.6087, 6, 10, 2, 3, 4, 6, 7, 10, 11, 12, 19, 22, 10, 1, 7, 9, 13, 15, 16, 19, 21, 22, 24, 10, 1, 2, 3, 12, 15, 17, 19, 22, 23, 24, 10, 0, 1, 2, 4, 7, 12, 15, 16, 20, 24, 10, 1, 2, 3, 4, 6, 10, 11, 19, 20, 21, 10, 1, 2, 3, 5, 7, 17, 18, 19, 21, 22, 
4, 6.05263, 7.65217, 6, 10, 1, 4, 6, 7, 10, 13, 15, 16, 19, 23, 10, 0, 2, 5, 6, 7, 13, 19, 21, 22, 23, 10, 2, 3, 7, 9, 10, 12, 14, 15, 16, 19, 10, 3, 5, 7, 8, 9, 11, 12, 21, 23, 24, 10, 3, 6, 9, 10, 11, 13, 14, 16, 17, 24, 10, 1, 4, 5, 6, 8, 11, 14, 19, 23, 24, 
4, 8, 9.42857, 6, 10, 1, 4, 6, 10, 12, 14, 15, 18, 22, 24, 10, 3, 4, 7, 8, 13, 15, 16, 18, 19, 20, 10, 1, 4, 11, 13, 16, 18, 19, 22, 23, 24, 10, 3, 4, 6, 8, 10, 12, 14, 15, 18, 22, 10, 2, 11, 13, 14, 16, 18, 19, 22, 23, 24, 10, 2, 6, 11, 12, 13, 15, 17, 18, 20, 23, 
4, 6.33333, 7.5, 6, 10, 0, 1, 4, 6, 7, 9, 10, 15, 17, 23, 10, 0, 1, 3, 4, 6, 8, 11, 14, 15, 18, 10, 4, 6, 7, 8, 10, 12, 14, 17, 18, 22, 10, 1, 3, 6, 11, 14, 16, 17, 18, 19, 24, 10, 0, 1, 2, 4, 13, 15, 16, 21, 22, 23, 10, 2, 3, 4, 11, 12, 14, 15, 20, 23, 24, 
4, 6.88235, 7.63636, 6, 10, 2, 5, 6, 9, 11, 13, 14, 17, 19, 22, 10, 1, 2, 5, 7, 8, 9, 13, 16, 18, 21, 10, 2, 3, 4, 9, 10, 15, 16, 17, 23, 24, 10, 2, 6, 10, 11, 13, 14, 18, 19, 20, 21, 10, 1, 2, 3, 6, 9, 10, 11, 13, 15, 19, 10, 0, 3, 9, 11, 12, 13, 17, 18, 19, 20, 
4, 6.75, 8.08696, 6, 10, 1, 2, 7, 10, 11, 12, 14, 16, 21, 23, 10, 0, 4, 7, 8, 12, 13, 14, 15, 21, 23, 10, 1, 2, 3, 6, 7, 8, 12, 16, 20, 24, 10, 6, 10, 11, 12, 14, 15, 20, 21, 23, 24, 10, 0, 1, 3, 5, 9, 12, 14, 15, 16, 20, 10, 0, 2, 3, 5, 7, 8, 16, 19, 21, 22, 
4, 7.23077, 8.17391, 6, 10, 0, 3, 6, 11, 15, 17, 18, 19, 21, 23, 10, 2, 4, 12, 13, 14, 15, 17, 18, 21, 23, 10, 2, 4, 7, 8, 11, 13, 14, 15, 19, 20, 10, 0, 3, 6, 10, 15, 16, 18, 19, 21, 22, 10, 4, 5, 9, 11, 13, 15, 16, 18, 20, 23, 10, 4, 5, 6, 8, 11, 16, 18, 20, 22, 23, 
4, 6.57143, 8.69565, 6, 10, 3, 6, 12, 13, 14, 15, 17, 19, 20, 24, 10, 4, 7, 8, 14, 15, 17, 20, 21, 23, 24, 10, 0, 8, 10, 11, 14, 15, 17, 19, 23, 24, 10, 2, 3, 6, 12, 14, 16, 18, 20, 21, 24, 10, 3, 4, 6, 7, 8, 10, 13, 15, 20, 24, 10, 0, 1, 3, 6, 9, 10, 19, 20, 23, 24, 
